date,name,category,value
1966-01-01,France 🇫🇷,Europe,48683090
1966-01-01,Germany 🇩🇪,Europe,76618720
1966-01-01,India 🇮🇳,Asia,510992600
1966-01-01,Indonesia 🇮🇩,Asia,103561100
1966-01-01,Italy 🇮🇹,Europe,51882570
1966-01-01,Japan 🇯🇵,Asia,100466904
1966-01-01,Russia 🇷🇺,Europe,127293950
1966-01-01,United Kingdom 🇬🇧,Europe,54560504
1966-01-01,United States 🇺🇸,Europe,191830980
1967-01-01,Bangladesh 🇧🇩,Asia,62104490
1967-01-01,Brazil 🇧🇷,Americas,89323290
1967-01-01,China 🇨🇳,Asia,761006300
1967-01-01,France 🇫🇷,Europe,49181404
1967-01-01,Germany 🇩🇪,Europe,77173550
1967-01-01,India 🇮🇳,Asia,521987070
1967-01-01,Indonesia 🇮🇩,Asia,106260750
1967-01-01,Italy 🇮🇹,Europe,52294440
1967-01-01,Japan 🇯🇵,Asia,101527860
1967-01-01,Russia 🇷🇺,Europe,128111730
1967-01-01,United Kingdom 🇬🇧,Europe,54876360
1967-01-01,United States 🇺🇸,Europe,193782430
1968-01-01,Bangladesh 🇧🇩,Asia,63995656
1968-01-01,Brazil 🇧🇷,Americas,91659250
1968-01-01,China 🇨🇳,Asia,780372000
1968-01-01,France 🇫🇷,Europe,49647270
1968-01-01,Germany 🇩🇪,Europe,77646130
1968-01-01,India 🇮🇳,Asia,533431900
1968-01-01,Indonesia 🇮🇩,Asia,109138730
1968-01-01,Italy 🇮🇹,Europe,52661070
1968-01-01,Japan 🇯🇵,Asia,102819280
1968-01-01,Russia 🇷🇺,Europe,128822376
1968-01-01,United Kingdom 🇬🇧,Europe,55169252
1968-01-01,United States 🇺🇸,Europe,195743420
1969-01-01,Bangladesh 🇧🇩,Asia,65866916
1969-01-01,Brazil 🇧🇷,Americas,94000380
1969-01-01,China 🇨🇳,Asia,801431000
1969-01-01,France 🇫🇷,Europe,50087056
1969-01-01,Germany 🇩🇪,Europe,78012490
1969-01-01,India 🇮🇳,Asia,545314700
1969-01-01,Indonesia 🇮🇩,Asia,112149256
1969-01-01,Italy 🇮🇹,Europe,53001508
1969-01-01,Japan 🇯🇵,Asia,104102070
1969-01-01,Russia 🇷🇺,Europe,129489464
1969-01-01,United Kingdom 🇬🇧,Europe,55420524
1969-01-01,United States 🇺🇸,Europe,197859330
1970-01-01,Bangladesh 🇧🇩,Asia,67541864
1970-01-01,Brazil 🇧🇷,Americas,96369890
1970-01-01,China 🇨🇳,Asia,822534460
1970-01-01,France 🇫🇷,Europe,50523588
1970-01-01,Germany 🇩🇪,Europe,78294590
1970-01-01,India 🇮🇳,Asia,557501300
1970-01-01,Indonesia 🇮🇩,Asia,115228390
1970-01-01,Italy 🇮🇹,Europe,53324036
1970-01-01,Japan 🇯🇵,Asia,105416840
1970-01-01,Russia 🇷🇺,Europe,130093010
1970-01-01,United Kingdom 🇬🇧,Europe,55650160
1970-01-01,United States 🇺🇸,Europe,200328340
1971-01-01,Bangladesh 🇧🇩,Asia,68376210
1971-01-01,Brazil 🇧🇷,Americas,98766290
1971-01-01,China 🇨🇳,Asia,843285440
1971-01-01,France 🇫🇷,Europe,50970696
1971-01-01,Germany 🇩🇪,Europe,78511410
1971-01-01,India 🇮🇳,Asia,569999170
1971-01-01,Indonesia 🇮🇩,Asia,118347140
1971-01-01,Italy 🇮🇹,Europe,53636100
1971-01-01,Japan 🇯🇵,Asia,106789360
1971-01-01,Russia 🇷🇺,Europe,130719656
1971-01-01,United Kingdom 🇬🇧,Europe,55875904
1971-01-01,United States 🇺🇸,Europe,202907920
1972-01-01,Bangladesh 🇧🇩,Asia,69346710
1972-01-01,Brazil 🇧🇷,Americas,101194390
1972-01-01,China 🇨🇳,Asia,862840400
1972-01-01,France 🇫🇷,Europe,51410364
1972-01-01,Germany 🇩🇪,Europe,78643560
1972-01-01,India 🇮🇳,Asia,582837950
1972-01-01,Indonesia 🇮🇩,Asia,121504136
1972-01-01,Italy 🇮🇹,Europe,53995428
1972-01-01,Japan 🇯🇵,Asia,108220400
1972-01-01,Russia 🇷🇺,Europe,131456440
1972-01-01,United Kingdom 🇬🇧,Europe,56057324
1972-01-01,United States 🇺🇸,Europe,205238380
1973-01-01,Bangladesh 🇧🇩,Asia,71144820
1973-01-01,Brazil 🇧🇷,Americas,103666904
1973-01-01,China 🇨🇳,Asia,881652100
1973-01-01,France 🇫🇷,Europe,51814076
1973-01-01,Germany 🇩🇪,Europe,78667470
1973-01-01,India 🇮🇳,Asia,596107460
1973-01-01,Indonesia 🇮🇩,Asia,124709060
1973-01-01,Italy 🇮🇹,Europe,54379588
1973-01-01,Japan 🇯🇵,Asia,109679470
1973-01-01,Russia 🇷🇺,Europe,132191630
1973-01-01,United Kingdom 🇬🇧,Europe,56166630
1973-01-01,United States 🇺🇸,Europe,207314770
1974-01-01,Bangladesh 🇧🇩,Asia,72947810
1974-01-01,Brazil 🇧🇷,Americas,106167380
1974-01-01,China 🇨🇳,Asia,899367700
1974-01-01,France 🇫🇷,Europe,52163550
1974-01-01,Germany 🇩🇪,Europe,78620536
1974-01-01,India 🇮🇳,Asia,609721900
1974-01-01,Indonesia 🇮🇩,Asia,127945190
1974-01-01,Italy 🇮🇹,Europe,54750684
1974-01-01,Japan 🇯🇵,Asia,111100024
1974-01-01,Russia 🇷🇺,Europe,132970440
1974-01-01,United Kingdom 🇬🇧,Europe,56233776
1974-01-01,United States 🇺🇸,Europe,209277970
1975-01-01,Bangladesh 🇧🇩,Asia,74700344
1975-01-01,Brazil 🇧🇷,Americas,108700510
1975-01-01,China 🇨🇳,Asia,915124700
1975-01-01,France 🇫🇷,Europe,52450030
1975-01-01,Germany 🇩🇪,Europe,78513510
1975-01-01,India 🇮🇳,Asia,623524200
1975-01-01,Indonesia 🇮🇩,Asia,131213220
1975-01-01,Italy 🇮🇹,Europe,55093990
1975-01-01,Japan 🇯🇵,Asia,112411640
1975-01-01,Russia 🇷🇺,Europe,133841850
1975-01-01,United Kingdom 🇬🇧,Europe,56266852
1975-01-01,United States 🇺🇸,Europe,211274540
1976-01-01,Bangladesh 🇧🇩,Asia,76380080
1976-01-01,Brazil 🇧🇷,Americas,111286504
1976-01-01,China 🇨🇳,Asia,929375940
1976-01-01,France 🇫🇷,Europe,52685270
1976-01-01,Germany 🇩🇪,Europe,78364216
1976-01-01,India 🇮🇳,Asia,637451460
1976-01-01,Indonesia 🇮🇩,Asia,134521020
1976-01-01,Italy 🇮🇹,Europe,55388904
1976-01-01,Japan 🇯🇵,Asia,113624870
1976-01-01,Russia 🇷🇺,Europe,134764460
1976-01-01,United Kingdom 🇬🇧,Europe,56263230
1976-01-01,United States 🇺🇸,Europe,213270030
1977-01-01,Bangladesh 🇧🇩,Asia,78137790
1977-01-01,Brazil 🇧🇷,Americas,113939890
1977-01-01,China 🇨🇳,Asia,942581300
1977-01-01,France 🇫🇷,Europe,52925440
1977-01-01,Germany 🇩🇪,Europe,78221280
1977-01-01,India 🇮🇳,Asia,651685600
1977-01-01,Indonesia 🇮🇩,Asia,137861540
1977-01-01,Italy 🇮🇹,Europe,55649670
1977-01-01,Japan 🇯🇵,Asia,114761520
1977-01-01,Russia 🇷🇺,Europe,135712060
1977-01-01,United Kingdom 🇬🇧,Europe,56244844
1977-01-01,United States 🇺🇸,Europe,215437400
1978-01-01,Bangladesh 🇧🇩,Asia,80007550
1978-01-01,Brazil 🇧🇷,Americas,116664380
1978-01-01,China 🇨🇳,Asia,955138940
1978-01-01,France 🇫🇷,Europe,53175308
1978-01-01,Germany 🇩🇪,Europe,78071550
1978-01-01,India 🇮🇳,Asia,666267800
1978-01-01,Indonesia 🇮🇩,Asia,141250960
1978-01-01,Italy 🇮🇹,Europe,55877016
1978-01-01,Japan 🇯🇵,Asia,115809520
1978-01-01,Russia 🇷🇺,Europe,136659140
1978-01-01,United Kingdom 🇬🇧,Europe,56240770
1978-01-01,United States 🇺🇸,Europe,217881440
1979-01-01,Bangladesh 🇧🇩,Asia,81908160
1979-01-01,Brazil 🇧🇷,Americas,119447304
1979-01-01,China 🇨🇳,Asia,968298940
1979-01-01,France 🇫🇷,Europe,53428780
